id,product_name,rating,title,content
REV_1,무선 이어폰 A ,5,사용하기 너무 편해요,"조작법도 쉽고 음질가 직관적이라 부모님 선물로도 좋을 것 같아요."
REV_2,무선 이어폰 A ,5,대만족입니다!,"디자인도 깔끔하고 음질 성능이 기대 이상이에요. 정말 추천합니다."
REV_3,무선 이어폰 A ,5,최고의 선택,"배송도 빠르고 연결성 기능이 너무 편리해요. 무선 이어폰 A  사길 잘했네요."
REV_4,무선 이어폰 A ,4,튼튼하고 실용적임,"마감이 좋고 배터리 시간가 아주 탄탄하네요. 오래 쓸 수 있을 것 같아요."
REV_5,무선 이어폰 A ,4,좋아요 근데 조금 아쉽네요,"전반적으로 만족하지만 배터리 시간 부분이 살짝 아쉽습니다. 그래도 가성비 좋네요."
REV_6,무선 이어폰 A ,4,튼튼하고 실용적임,"마감이 좋고 착용감가 아주 탄탄하네요. 오래 쓸 수 있을 것 같아요."
REV_7,무선 이어폰 A ,5,대만족입니다!,"디자인도 깔끔하고 배터리 시간 성능이 기대 이상이에요. 정말 추천합니다."
REV_8,무선 이어폰 A ,4,좋아요 근데 조금 아쉽네요,"전반적으로 만족하지만 착용감 부분이 살짝 아쉽습니다. 그래도 가성비 좋네요."
REV_9,무선 이어폰 A ,4,튼튼하고 실용적임,"마감이 좋고 착용감가 아주 탄탄하네요. 오래 쓸 수 있을 것 같아요."
REV_10,무선 이어폰 A ,2,비추천합니다,"생각보다 음질가 별로예요. 다른 제품 알아보시는게 좋을 듯."
REV_11,무선 이어폰 A ,4,좋아요 근데 조금 아쉽네요,"전반적으로 만족하지만 베이스 부분이 살짝 아쉽습니다. 그래도 가성비 좋네요."
REV_12,무선 이어폰 A ,2,비추천합니다,"생각보다 음질가 별로예요. 다른 제품 알아보시는게 좋을 듯."
REV_13,무선 이어폰 A ,4,튼튼하고 실용적임,"마감이 좋고 배터리 시간가 아주 탄탄하네요. 오래 쓸 수 있을 것 같아요."
REV_14,무선 이어폰 A ,5,대만족입니다!,"디자인도 깔끔하고 베이스 성능이 기대 이상이에요. 정말 추천합니다."
REV_15,무선 이어폰 A ,4,좋아요 근데 조금 아쉽네요,"전반적으로 만족하지만 연결성 부분이 살짝 아쉽습니다. 그래도 가성비 좋네요."
REV_16,무선 이어폰 A ,3,그냥 그래요,"가격만큼 하는 것 같습니다. 베이스가 좀 더 개선되면 좋겠어요."
REV_17,무선 이어폰 A ,3,그냥 그래요,"가격만큼 하는 것 같습니다. 배터리 시간가 좀 더 개선되면 좋겠어요."
REV_18,무선 이어폰 A ,5,대만족입니다!,"디자인도 깔끔하고 베이스 성능이 기대 이상이에요. 정말 추천합니다."
REV_19,무선 이어폰 A ,3,그냥 그래요,"가격만큼 하는 것 같습니다. 배터리 시간가 좀 더 개선되면 좋겠어요."
REV_20,무선 이어폰 A ,3,그냥 그래요,"가격만큼 하는 것 같습니다. 베이스가 좀 더 개선되면 좋겠어요."
REV_21,무선 이어폰 A ,4,튼튼하고 실용적임,"마감이 좋고 음질가 아주 탄탄하네요. 오래 쓸 수 있을 것 같아요."
REV_22,무선 이어폰 A ,5,사용하기 너무 편해요,"조작법도 쉽고 베이스가 직관적이라 부모님 선물로도 좋을 것 같아요."
